tipo,nombres,primer_apellido,segundo_apellido,sexo,ci,lugar_nacimiento,color_piel,estado_civil,ciudadano,procedencia_social,especialidad,pais,centro,cargo,facultad,ces,departamento,salario,categoria_docente,fecha_otorgamiento_categoria,direccion,grado_cientifico,fecha_otorgamiento_grado,telefono,solapin,username,email
Estudiante,Sonia,Plaza,Rivero,F,44533617460,La Coruña,Asiática,Divorciado/a,Cubano,Otra,Immunologist,Cuba,Palma-Gil,Retail merchandiser,Deserunt,LLC,Deserunt,5944.0,ATD Superior,2016-12-08,"Via de Luna Benavent 97, Huelva, 59387",Ninguno,,+34728 408 016,ab0c1681-c8f8-43d0-9329-0a4cb5d32b16,soniaplaza,soniaplaza@estudiantes.uci.cu
Estudiante,Maura,Abella,Uriarte,F,41495575586,Teruel,Negra,Soltero/a,Cubano,Intelectual,Biomedical scientist,Cuba,Girona and Sons,Curator,Quisquam,Group,Consectetur,9356.79,Asistente,2016-09-09,"Cañada Carmen Manuel 9 Piso 8 , Zaragoza, 71965",Ingeniero,2025-02-11,+34 642320947,c1f254b8-adc0-4a7a-96fe-baa011af923d,mauraabella,mauraabella@estudiantes.uci.cu
Estudiante,Berto,Conde,Arias,M,22208273704,Teruel,Blanca,Divorciado/a,Cubano,Otra,"Scientist, water quality",Cuba,Vélez-Gutiérrez,"Engineer, structural",Veritatis,PLC,Nihil,8108.82,Titular,2025-03-09,"Acceso de Celestino Morata 617 Apt. 30 , Baleares, 52560",Máster,2017-01-13,+34 830989101,d480865f-9b38-4e80-b042-e325a28f5ab0,bertoconde,bertoconde@estudiantes.uci.cu
Estudiante,Maricela,Carretero,Posada,F,57637766577,Alicante,Mestiza,Soltero/a,Cubano,Obrera,Trading standards officer,Cuba,Ferreras and Sons,Community pharmacist,Perferendis,and Sons,Assumenda,9391.08,Asistente,2015-09-17,"Avenida de Ismael Bello 75, Almería, 09163",Doctor,2019-10-01,+34 747 92 30 22,1e01a934-402d-4baf-878b-9f6b57a1cb71,maricelacarretero,maricelacarretero@estudiantes.uci.cu
Estudiante,Marc,Salamanca,Díez,M,74481219148,Ourense,Mestiza,Casado/a,Cubano,Intelectual,Rural practice surveyor,Cuba,Palau-Pont,Fitness centre manager,Dolor,PLC,Voluptas,5791.76,Titular,2015-07-15,"Calle de Candelas Lucas 83, Salamanca, 59924",Licenciado,2021-12-04,+34661 09 35 23,60ef1471-72b8-4f39-a32c-9b6f391cf046,marcsalamanca,marcsalamanca@estudiantes.uci.cu
Estudiante,Pedro,Ribas,Angulo,M,90323746604,Vizcaya,Blanca,Soltero/a,Cubano,Intelectual,Armed forces training and education officer,Cuba,Salinas Inc,Futures trader,Voluptates,and Sons,Occaecati,6972.58,ATD Medio Superior,2024-04-19,"Cuesta Máximo Miguel 70, Navarra, 20665",Ingeniero,2015-05-20,+34 730089131,dfa7c6ed-32d1-481b-a636-425c9bbd750d,pedroribas,pedroribas@estudiantes.uci.cu
Estudiante,Encarna,Losada,Esparza,F,74854782235,Santa Cruz de Tenerife,Negra,Divorciado/a,Cubano,Otra,Ceramics designer,Cuba,Llobet Group,Commercial art gallery manager,Facere,and Sons,Ullam,6858.87,Auxiliar,2024-03-08,"Callejón Renata Alfonso 1, Soria, 85590",Licenciado,2023-09-26,+34737 65 82 36,2371ea2c-0247-445f-8a81-4d53964ddb77,encarnalosada,encarnalosada@estudiantes.uci.cu
Estudiante,Carlos,Linares,Mínguez,M,53352143670,Alicante,Negra,Casado/a,Cubano,Campesina,Geophysicist/field seismologist,Cuba,Conde PLC,Horticultural consultant,Magni,Group,Quo,5694.31,Asistente,2017-07-12,"Urbanización de Atilio Mena 28, La Coruña, 46118",Ingeniero,2023-07-05,+34745 517 176,bc18a40b-55c7-4d9d-8d49-85dc09aedbd0,carloslinares,carloslinares@estudiantes.uci.cu
Profesor,Olegario,Cortés,Diaz,M,90001247904,Zaragoza,Negra,Casado/a,Cubano,Obrera,Chartered loss adjuster,Cuba,Blazquez and Sons,Environmental consultant,Assumenda,Group,Accusamus,7596.62,Instructor,2016-12-28,"Cuesta de Modesta Gaya 61 Apt. 49 , Las Palmas, 51108",Licenciado,2023-01-03,+34713 17 64 30,3744da64-cc24-4558-b2ad-985fff3e0ba1,olegariocortés,olegariocortés@uci.cu
Estudiante,Mateo,Coll,Calvo,M,70979816992,Huesca,Negra,Casado/a,Cubano,Otra,Sports coach,Cuba,Calvo PLC,Ranger/warden,Dignissimos,PLC,Necessitatibus,9461.58,Asistente,2022-07-10,"Cuesta de Fabiola Franch 193 Piso 5 , Alicante, 49269",Doctor,2020-05-01,+34737 11 80 13,03e9ba02-4cea-4df0-8a66-dc4e21681081,mateocoll,mateocoll@estudiantes.uci.cu
Profesor,Purificación,Sanabria,Muro,F,35176683347,Segovia,Mestiza,Soltero/a,Cubano,Otra,Psychiatrist,Cuba,Vazquez-Piña,Senior tax professional/tax inspector,Provident,Inc,Rem,7621.72,Auxiliar,2016-11-12,"Cañada Blanca Rios 46 Apt. 02 , Málaga, 51744",Máster,2022-04-07,+34960 223 450,6af944e0-7b38-485b-8932-f5b6f11ddff7,purificaciónsanabria,purificaciónsanabria@uci.cu
Profesor,Bibiana,Téllez,Bilbao,F,61482509945,Alicante,Negra,Divorciado/a,Cubano,Campesina,Veterinary surgeon,Cuba,Pomares-Segarra,Art gallery manager,Consequuntur,Group,Distinctio,4701.25,Auxiliar,2015-09-01,"Via de Juana Olivares 86, Almería, 95194",Máster,2017-06-26,+34941 830 675,5b471c43-7499-428c-b0c3-2323c1b199c4,bibianatéllez,bibianatéllez@uci.cu
Profesor,Rosa,Benet,Arribas,F,74596225135,Albacete,Blanca,Soltero/a,Cubano,Obrera,"Scientist, product/process development",Cuba,"Garzón, Gras and Bueno",Retail buyer,Voluptatem,PLC,Nihil,3435.35,Titular,2023-12-14,"Ronda Tecla Roca 2, Asturias, 62076",Ingeniero,2022-06-02,+34 875 415 115,590e83da-586f-4721-8785-48d7b1182d23,rosabenet,rosabenet@uci.cu
Estudiante,Chuy,Agustín,Gual,M,60762247262,Pontevedra,Blanca,Divorciado/a,Cubano,Obrera,Customer service manager,Cuba,Acero and Sons,Community pharmacist,Ab,LLC,Maxime,7244.37,Asistente,2015-09-29,"Pasaje Daniel Tapia 34, Castellón, 57448",Licenciado,2020-11-19,+34 719118942,f217faac-259c-4f81-a5ce-0ca6606821d6,chuyagustín,chuyagustín@estudiantes.uci.cu
Estudiante,Bernardino,Gisbert,Moles,M,42248042309,Valladolid,Negra,Soltero/a,Cubano,Obrera,Educational psychologist,Cuba,Perales-Rivas,Armed forces training and education officer,Delectus,PLC,Adipisci,4362.14,ATD Medio Superior,2022-01-08,"Ronda Marcelino Riera 79, Santa Cruz de Tenerife, 13758",Licenciado,2016-04-22,+34960 657 354,f344c911-174f-4a54-b88c-161ef3cc9d8a,bernardinogisbert,bernardinogisbert@estudiantes.uci.cu
Profesor,Catalina,Camps,Lluch,F,83496162151,Zamora,Mestiza,Divorciado/a,Cubano,Otra,Product designer,Cuba,Esteve-Robles,Podiatrist,Doloribus,and Sons,Odit,8851.32,Ninguna,,"Pasaje de Evangelina Bolaños 53, Tarragona, 97034",Ingeniero,2017-04-09,+34948 92 67 17,8b32992a-3b7c-4f9a-b5fe-ba5ec2953f51,catalinacamps,catalinacamps@uci.cu
Estudiante,Rico,Ramirez,,M,97102316353,Baleares,Negra,Divorciado/a,Cubano,Intelectual,Geophysicist/field seismologist,Cuba,"Armas, Abad and Jerez",Occupational therapist,Qui,PLC,Voluptatum,6269.92,Asistente,2022-01-24,"Acceso de Loreto Ferrández 210, Granada, 18321",Licenciado,2022-05-19,+34 704 82 98 38,a274c0d7-f4a5-4c36-a92a-7bce1af55c26,ricoramirez,ricoramirez@estudiantes.uci.cu
Profesor,Macaria,Quintanilla,Lopez,F,71384764236,Ourense,Negra,Casado/a,Cubano,Intelectual,Corporate investment banker,Cuba,Casal Ltd,Community arts worker,Modi,Group,Rerum,9429.37,ATD Medio Superior,2023-04-14,"Cuesta de Manuelita Ribes 87 Puerta 8 , Madrid, 74270",Ingeniero,2018-12-29,+34 857 608 116,1dbc24fd-0a8a-41e4-9c7c-bc6201a4f7a1,macariaquintanilla,macariaquintanilla@uci.cu
Profesor,María Teresa,Acevedo,León,F,99649484750,Toledo,Asiática,Viudo/a,Cubano,Intelectual,Ergonomist,Cuba,Maestre and Sons,Civil Service fast streamer,Nostrum,Group,Iure,9449.93,Auxiliar,2021-11-09,"Ronda de Eusebio Salvà 68 Apt. 32 , Huelva, 67633",Ingeniero,2022-10-18,+34 739060312,a358cb1d-be3f-4afd-8e96-ed9b5d158e44,maríaacevedo,maríaacevedo@uci.cu
Profesor,Nicolasa,Durán,Guijarro,F,51277985259,Teruel,Asiática,Soltero/a,Cubano,Intelectual,Science writer,Cuba,Osuna-Reina,Proofreader,Asperiores,Ltd,Voluptatem,7603.31,ATD Medio Superior,2024-02-08,"Callejón de Julie Tamarit 55 Apt. 00 , Huelva, 40216",Ninguno,,+34713 96 83 73,9b3a0c89-1a32-4148-9bba-c83856e9b78d,nicolasadurán,nicolasadurán@uci.cu
Estudiante,Vasco,Boada,Montaña,M,84401413439,Guadalajara,Mestiza,Divorciado/a,Cubano,Campesina,Freight forwarder,Cuba,Yuste Inc,Energy manager,Maxime,Inc,Eos,3943.86,Titular,2024-03-31,"Callejón Hortensia Mata 78, Lugo, 30481",Doctor,2015-06-25,+34737 706 777,3dbba3af-14db-4d22-95ea-e9d21e3d59d0,vascoboada,vascoboada@estudiantes.uci.cu
Profesor,Ariel,Corral,Riba,F,71046373894,Las Palmas,Negra,Divorciado/a,Cubano,Campesina,"Surveyor, land/geomatics",Cuba,Ariza-Escribano,Fisheries officer,Porro,and Sons,Debitis,5900.93,Auxiliar,2020-01-26,"Via de Cecilia Machado 583 Piso 8 , Murcia, 43019",Licenciado,2017-01-02,+34 716334088,1f2de275-0cbd-4014-9bed-b42e6da313e7,arielcorral,arielcorral@uci.cu
Estudiante,Gregorio,Llamas,Carrasco,M,59669866354,Soria,Blanca,Viudo/a,Cubano,Otra,Sports coach,Cuba,"Luján, Giralt and Heredia",Bookseller,Quas,LLC,Veniam,6136.95,Auxiliar,2020-11-21,"Cañada de Dafne Donoso 90 Puerta 5 , Palencia, 26228",Ninguno,,+34 722 379 332,62759469-c28d-4ad5-bbd3-147dd0f0c75d,gregoriollamas,gregoriollamas@estudiantes.uci.cu
Estudiante,Gabriel,Cazorla,Valentín,M,92068294753,Melilla,Asiática,Soltero/a,Cubano,Obrera,"Therapist, occupational",Cuba,Torrijos-Sarmiento,Insurance broker,Accusantium,and Sons,Quos,3447.2,Auxiliar,2018-02-05,"Avenida de Juan Antonio Cervantes 663 Piso 6 , Castellón, 53573",Ingeniero,2019-10-01,+34 742 40 59 80,5a79b46a-26b6-4b06-a164-5f58bb78eb2d,gabrielcazorla,gabrielcazorla@estudiantes.uci.cu
Profesor,Ainoa,Tudela,Barriga,F,40170275573,Álava,Blanca,Casado/a,Cubano,Obrera,Equities trader,Cuba,"Morillo, Batlle and Barrios",Location manager,Ut,Group,Deleniti,8864.16,Ninguna,,"Vial de Pepito Mesa 75 Piso 0 , Córdoba, 09166",Doctor,2018-03-28,+34 982 982 153,2d20481a-d216-4d53-9408-8ff7d7133061,ainoatudela,ainoatudela@uci.cu
Profesor,Delia,Alonso,Domingo,F,33886068854,Las Palmas,Blanca,Soltero/a,Cubano,Campesina,"Therapist, sports",Cuba,Sebastián Ltd,Dealer,Sint,PLC,Animi,5922.4,Ninguna,,"Plaza de Eufemia Arce 61 Piso 2 , Ciudad, 26547",Ingeniero,2022-01-01,+34 948 487 089,afd4fc7b-ef20-4346-832f-b3088d56206d,deliaalonso,deliaalonso@uci.cu
Profesor,Alejo,Sarmiento,Prats,M,25983238529,Huelva,Blanca,Viudo/a,Cubano,Otra,Research scientist (life sciences),Cuba,Almansa LLC,Animal nutritionist,Facere,Ltd,Vero,4389.61,ATD Superior,2025-03-23,"C. de Perlita Iglesia 61, Palencia, 22509",Máster,2016-03-12,+34722554457,6e566274-99c7-4bea-a756-264dc8649f78,alejosarmiento,alejosarmiento@uci.cu
Estudiante,Che,Abella,,M,30565764084,León,Negra,Divorciado/a,Cubano,Obrera,Comptroller,Cuba,Agustí-Tenorio,Furniture designer,Similique,and Sons,Atque,9397.17,Titular,2024-08-29,"Pasadizo Fortunato Barroso 29 Puerta 8 , Valladolid, 44406",Licenciado,2020-02-04,+34 988 85 53 62,82e7448c-c003-4457-8184-7803d840fccb,cheabella,cheabella@estudiantes.uci.cu
Estudiante,Casemiro,Plana,Paniagua,M,83170648410,Santa Cruz de Tenerife,Mestiza,Divorciado/a,Cubano,Obrera,Visual merchandiser,Cuba,Alcázar LLC,Seismic interpreter,Dolore,Ltd,Earum,3130.02,Ninguna,,"Urbanización Concha Herranz 72 Apt. 97 , Valencia, 81327",Ingeniero,2016-06-07,+34716 446 595,7e15aa2c-07b6-428f-8e98-ce2517337a7c,casemiroplana,casemiroplana@estudiantes.uci.cu
Estudiante,Adelina,Iglesia,Franco,F,64813886218,Las Palmas,Negra,Casado/a,Cubano,Otra,Neurosurgeon,Cuba,"Arenas, Sola and Pacheco","Teacher, adult education",Debitis,PLC,Voluptatum,9318.97,Auxiliar,2020-01-22,"Cuesta de África Vélez 20, Huesca, 13187",Doctor,2016-01-21,+34 720 56 24 62,ddda17a3-6779-4e0d-a5c1-df67987d616d,adelinaiglesia,adelinaiglesia@estudiantes.uci.cu
