tipo,nombres,primer_apellido,segundo_apellido,sexo,ci,lugar_nacimiento,color_piel,estado_civil,ciudadano,procedencia_social,especialidad,pais,centro,cargo,facultad,ces,departamento,salario,categoria_docente,fecha_otorgamiento_categoria,direccion,grado_cientifico,fecha_otorgamiento_grado,telefono,solapin,username,email,
Estudiante,Pedro,Ribas,Angulo,Masculino,90323746604,Vizcaya,Blanca,Soltero/a,Cubano,Intelectual,Armed forces training and education officer,Cuba,Salinas Inc,Futures trader,Voluptates,and Sons,Occaecati,6972.58,ATD Medio Superior,2024-04-19,"Cuesta Máximo Miguel 70, Navarra, 20665",Ingeniero,2015-05-20,+5356402525,dfa7c6ed,pedroribas,pedroribas@estudiantes.uci.cu,
Estudiante,Encarna,Losada,Esparza,Femenino,74854782235,Santa Cruz de Tenerife,Negra,Divorciado/a,Cubano,Otra,Ceramics designer,Cuba,Llobet Group,Commercial art gallery manager,Facere,and Sons,Ullam,6858.87,Auxiliar,2024-03-08,"Callejón Renata Alfonso 1, Soria, 85590",Licenciado,2023-09-26,+5353080665,2371ea2c,encarnalosada,encarnalosada@estudiantes.uci.cu,
Estudiante,Carlos,Linares,Mínguez,Masculino,53352143670,Alicante,Negra,Casado/a,Cubano,Campesina,Geophysicist/field seismologist,Cuba,Conde PLC,Horticultural consultant,Magni,Group,Quo,5694.31,Asistente,2017-07-12,"Urbanización de Atilio Mena 28, La Coruña, 46118",Ingeniero,2023-07-05,+5359742739,bc18a40b,carloslinares,carloslinares@estudiantes.uci.cu,
Profesor,Olegario,Cortés,Diaz,Masculino,90001247904,Zaragoza,Negra,Casado/a,Extranjero,Obrera,Chartered loss adjuster,Cuba,Blazquez and Sons,Environmental consultant,Assumenda,Group,Accusamus,7596.62,Instructor,2016-12-28,"Cuesta de Modesta Gaya 61 Apt. 49 , Las Palmas, 51108",Licenciado,2023-01-03,+5350730452,3744da64,olegariocortés,olegariocortés@uci.cu,
Estudiante,Mateo,Coll,Calvo,Masculino,70979816992,Huesca,Negra,Casado/a,Cubano,Otra,Sports coach,Cuba,Calvo PLC,Ranger/warden,Dignissimos,PLC,Necessitatibus,9461.58,Asistente,2022-07-10,"Cuesta de Fabiola Franch 193 Piso 5 , Alicante, 49269",Doctor,2020-05-01,+5353078418,03e9ba024c,mateocoll,mateocoll@estudiantes.uci.cu,
Profesor,Purificación,Sanabria,Muro,Femenino,35176683347,Segovia,Mestiza,Soltero/a,Cubano,Otra,Psychiatrist,Cuba,Vazquez-Piña,Senior tax professional/tax inspector,Provident,Inc,Rem,7621.72,Auxiliar,2016-11-12,"Cañada Blanca Rios 46 Apt. 02 , Málaga, 51744",Máster,2022-04-07,+5354022299,6af944e0,purificaciónsanabria,purificaciónsanabria@uci.cu,
Profesor,Bibiana,Téllez,Bilbao,Femenino,61482509945,Alicante,Negra,Divorciado/a,Cubano,Campesina,Veterinary surgeon,Cuba,Pomares-Segarra,Art gallery manager,Consequuntur,Group,Distinctio,4701.25,Auxiliar,2015-09-01,"Via de Juana Olivares 86, Almería, 95194",Máster,2017-06-26,+5350814535,5b471c43,bibianatéllez,bibianatéllez@uci.cu,
Profesor,Rosa,Benet,Arribas,Femenino,74596225135,Albacete,Blanca,Soltero/a,Cubano,Obrera,"Scientist, product/process development",Cuba,"Garzón, Gras and Bueno",Retail buyer,Voluptatem,PLC,Nihil,3435.35,Titular,2023-12-14,"Ronda Tecla Roca 2, Asturias, 62076",Ingeniero,2022-06-02,+5358118979,590e83da,rosabenet,rosabenet@uci.cu,
Estudiante,Chuy,Agustín,Gual,Masculino,60762247262,Pontevedra,Blanca,Divorciado/a,Cubano,Obrera,Customer service manager,Cuba,Acero and Sons,Community pharmacist,Ab,LLC,Maxime,7244.37,Asistente,2015-09-29,"Pasaje Daniel Tapia 34, Castellón, 57448",Licenciado,2020-11-19,+5358572347,f217faac,chuyagustín,chuyagustín@estudiantes.uci.cu,
Estudiante,Bernardino,Gisbert,Moles,Masculino,42248042309,Valladolid,Negra,Soltero/a,Cubano,Obrera,Educational psychologist,Cuba,Perales-Rivas,Armed forces training and education officer,Delectus,PLC,Adipisci,4362.14,ATD Medio Superior,2022-01-08,"Ronda Marcelino Riera 79, Santa Cruz de Tenerife, 13758",Licenciado,2016-04-22,+5354587528,f344c911,bernardinogisbert,bernardinogisbert@estudiantes.uci.cu,
Profesor,Catalina,Camps,Lluch,Femenino,83496162151,Zamora,Mestiza,Divorciado/a,Cubano,Otra,Product designer,Cuba,Esteve-Robles,Podiatrist,Doloribus,and Sons,Odit,8851.32,Ninguna,,"Pasaje de Evangelina Bolaños 53, Tarragona, 97034",Ingeniero,2017-04-09,+5350233577,8b32992a,catalinacamps,catalinacamps@uci.cu,
Estudiante,Rico,Ramirez,,Masculino,97102316353,Baleares,Negra,Divorciado/a,Cubano,Intelectual,Geophysicist/field seismologist,Cuba,"Armas, Abad and Jerez",Occupational therapist,Qui,PLC,Voluptatum,6269.92,Asistente,2022-01-24,"Acceso de Loreto Ferrández 210, Granada, 18321",Licenciado,2022-05-19,+5350978639,a274c0d7,ricoramirez,ricoramirez@estudiantes.uci.cu,
Profesor,Macaria,Quintanilla,Lopez,Femenino,71384764236,Ourense,Negra,Casado/a,Cubano,Intelectual,Corporate investment banker,Cuba,Casal Ltd,Community arts worker,Modi,Group,Rerum,9429.37,ATD Medio Superior,2023-04-14,"Cuesta de Manuelita Ribes 87 Puerta 8 , Madrid, 74270",Ingeniero,2018-12-29,+5355549956,1dbc24fd,macariaquintanilla,macariaquintanilla@uci.cu,
Profesor,María Teresa,Acevedo,León,Femenino,99649484750,Toledo,Asiática,Viudo/a,Extranjero,Intelectual,Ergonomist,Cuba,Maestre and Sons,Civil Service fast streamer,Nostrum,Group,Iure,9449.93,Auxiliar,2021-11-09,"Ronda de Eusebio Salvà 68 Apt. 32 , Huelva, 67633",Ingeniero,2022-10-18,+5352515067,a358cb1d4,maríaacevedo,maríaacevedo@uci.cu,
Profesor,Nicolasa,Durán,Guijarro,Femenino,51277985259,Teruel,Asiática,Soltero/a,Cubano,Intelectual,Science writer,Cuba,Osuna-Reina,Proofreader,Asperiores,Ltd,Voluptatem,7603.31,ATD Medio Superior,2024-02-08,"Callejón de Julie Tamarit 55 Apt. 00 , Huelva, 40216",Ninguno,,+5351788599,9b3a0c89c83856e9b78d,nicolasadurán,nicolasadurán@uci.cu,
